日期,销量
2017-04-26,892
2017-04-27,930
2017-04-28,896
2017-04-29,939
2017-04-30,983
2017-05-01,935
2017-05-02,988
2017-05-03,993
2017-05-04,977
2017-05-05,996
2017-05-06,1004
2017-05-07,1006
2017-05-08,1000
2017-05-09,948
2017-05-10,995
2017-05-11,1038
2017-05-12,1012
2017-05-13,1036
2017-05-14,1011
2017-05-15,1002
2017-05-16,976
2017-05-17,1000
2017-05-18,1053
2017-05-19,993
2017-05-20,1012
2017-05-21,1036
2017-05-22,1077
2017-05-23,1101
2017-05-24,1082
2017-05-25,1108
2017-05-26,1038
2017-05-27,1100
2017-05-28,1052
2017-05-29,1101
2017-05-30,1124
2017-05-31,1091
2017-06-01,1127
2017-06-02,1116
2017-06-03,1114
2017-06-04,1103
2017-06-05,1117
2017-06-06,1119
2017-06-07,1178
2017-06-08,1138
2017-06-09,1134
2017-06-10,1157
2017-06-11,1182
2017-06-12,1149
2017-06-13,1148
2017-06-14,1195
2017-06-15,1161
2017-06-16,1178
2017-06-17,1217
2017-06-18,1170
2017-06-19,1203
2017-06-20,1183
2017-06-21,1203
2017-06-22,1200
2017-06-23,1167
2017-06-24,1255
2017-06-25,1274
2017-06-26,1212
2017-06-27,1277
2017-06-28,1269
2017-06-29,1287
2017-06-30,1248
2017-07-01,1294
2017-07-02,1254
2017-07-03,1307
2017-07-04,1297
2017-07-05,1228
2017-07-06,1323
2017-07-07,1259
2017-07-08,1247
2017-07-09,1315
2017-07-10,1344
2017-07-11,1326
2017-07-12,1314
2017-07-13,1268
2017-07-14,1351
2017-07-15,1344
2017-07-16,1308
2017-07-17,1355
2017-07-18,1309
2017-07-19,1385
2017-07-20,1300
2017-07-21,1340
2017-07-22,1382
2017-07-23,1408
2017-07-24,1360
2017-07-25,1395
2017-07-26,1381
2017-07-27,1404
2017-07-28,1349
2017-07-29,1356
2017-07-30,1378
2017-07-31,1450
2017-08-01,1449
2017-08-02,1432
2017-08-03,1394
2017-08-04,1383
2017-08-05,1433
2017-08-06,1385
2017-08-07,1460
2017-08-08,1445
2017-08-09,1485
2017-08-10,1423
2017-08-11,1490
2017-08-12,1465
2017-08-13,1442
2017-08-14,1441
2017-08-15,1444
2017-08-16,1529
2017-08-17,1532
2017-08-18,1491
2017-08-19,1478
2017-08-20,1509
2017-08-21,1521
2017-08-22,1542
2017-08-23,1478
2017-08-24,1477
2017-08-25,1520
2017-08-26,1523
2017-08-27,1523
2017-08-28,1533
2017-08-29,1504
2017-08-30,1601
2017-08-31,1562
2017-09-01,1595
2017-09-02,1613
2017-09-03,1600
2017-09-04,1544
2017-09-05,1556
2017-09-06,1572
2017-09-07,1630
2017-09-08,1629
2017-09-09,1580
2017-09-10,1649
2017-09-11,1635
2017-09-12,1629
2017-09-13,1608
2017-09-14,1639
2017-09-15,1653
2017-09-16,1675
2017-09-17,1667
2017-09-18,1633
2017-09-19,1657
2017-09-20,1702
2017-09-21,1629
2017-09-22,1682
2017-09-23,1651
2017-09-24,1644
2017-09-25,1684
2017-09-26,1686
2017-09-27,1709
2017-09-28,1660
2017-09-29,1712
2017-09-30,1683
2017-10-01,1686
2017-10-02,1741
2017-10-03,1749
2017-10-04,1702
2017-10-05,1758
2017-10-06,1780
2017-10-07,1732
2017-10-08,1744
2017-10-09,1726
2017-10-10,1800
2017-10-11,1781
2017-10-12,1764
2017-10-13,1803
2017-10-14,1815
2017-10-15,1748
2017-10-16,1755
2017-10-17,1766
2017-10-18,1824
2017-10-19,1814
2017-10-20,1779
2017-10-21,1800
2017-10-22,1798
2017-10-23,1855
2017-10-24,1877
2017-10-25,1878
2017-10-26,1857
2017-10-27,1881
2017-10-28,1861
2017-10-29,1820
2017-10-30,1818
2017-10-31,1902
2017-11-01,1907
2017-11-02,1875
2017-11-03,1870
2017-11-04,1872
2017-11-05,1935
2017-11-06,1899
2017-11-07,1850
2017-11-08,1860
2017-11-09,1938
2017-11-10,1888
2017-11-11,1881
2017-11-12,1919
2017-11-13,1922
2017-11-14,1931
2017-11-15,1923
2017-11-16,1927
2017-11-17,1991
2017-11-18,1999
2017-11-19,1930
2017-11-20,1921
2017-11-21,1970
2017-11-22,1947
2017-11-23,1975
2017-11-24,1987
2017-11-25,2012
2017-11-26,1992
2017-11-27,1957
2017-11-28,2016
2017-11-29,1962
2017-11-30,1970
2017-12-01,2044
2017-12-02,2047
2017-12-03,2076
2017-12-04,2041
2017-12-05,2028
2017-12-06,2012
2017-12-07,2078
2017-12-08,2054
2017-12-09,2021
2017-12-10,2022
2017-12-11,2040
2017-12-12,2039
2017-12-13,2039
2017-12-14,2128
2017-12-15,2055
2017-12-16,2142
2017-12-17,2105
2017-12-18,2115
2017-12-19,2121
2017-12-20,2082
2017-12-21,2141
2017-12-22,2142
2017-12-23,2127
2017-12-24,2144
2017-12-25,2159
2017-12-26,2154
2017-12-27,2122
2017-12-28,2119
2017-12-29,2138
2017-12-30,2165
2017-12-31,2201
