当地时间,平均气温,降水量,相对湿度,天气情况,平均风速
18.06.2022 23:00,22.7,0,94,云量发展情况没有进行观测或无法观测。 ,3
18.06.2022 20:00,23.1,0,90,薄雾 ,4
18.06.2022 17:00,25.5,0,75,云量发展情况没有进行观测或无法观测。 ,4
18.06.2022 14:00,26.7,0,73,云量发展情况没有进行观测或无法观测。 ,3
18.06.2022 11:00,22.9,0,86,云量发展情况没有进行观测或无法观测。 ,4
18.06.2022 08:00,22.6,0,86,云量发展情况没有进行观测或无法观测。 ,2
18.06.2022 05:00,22.9,0,88,薄雾 ,5
18.06.2022 02:00,22.7,0,89,云量发展情况没有进行观测或无法观测。 ,4
17.06.2022 23:00,23.4,0,86,薄雾 ,4
17.06.2022 20:00,23.1,0,89,薄雾 ,3
17.06.2022 17:00,24.4,6,79,云量发展情况没有进行观测或无法观测。 ,3
17.06.2022 14:00,24.3,9,76,云量发展情况没有进行观测或无法观测。 ,4
17.06.2022 11:00,24.8,31,75,云量发展情况没有进行观测或无法观测。 ,3
17.06.2022 08:00,21.2,30,85,间歇性雨，不冻，在观测时较弱 ,7
17.06.2022 05:00,20.2,25,87,间歇性雨，不冻，在观测时较弱 ,3
17.06.2022 02:00,20,22,93,间歇性雨，不冻，在观测时较弱 ,5
16.06.2022 23:00,20.2,0.1,99,雾或冰雾，天空可见，在观测前一个小时内没有明显的浓度变化。 ,5
16.06.2022 20:00,20.6,0.1,96,薄雾 ,2
16.06.2022 17:00,21.6,0.1,89,小雨（不冻） ,3
16.06.2022 14:00,22.2,0,83,云量发展情况没有进行观测或无法观测。 ,3
16.06.2022 11:00,22.4,0,79,云量发展情况没有进行观测或无法观测。 ,4
16.06.2022 08:00,22.1,0,81,云量发展情况没有进行观测或无法观测。 ,4
16.06.2022 05:00,19.3,0,94,薄雾 ,3
16.06.2022 02:00,19.3,0,95,薄雾 ,3
15.06.2022 23:00,19.1,0,93,云量发展情况没有进行观测或无法观测。 ,3
15.06.2022 20:00,20.2,0,87,云量发展情况没有进行观测或无法观测。 ,3
15.06.2022 17:00,22.8,0,74,云量发展情况没有进行观测或无法观测。 ,3
15.06.2022 14:00,25.9,0,53,云量发展情况没有进行观测或无法观测。 ,4
15.06.2022 11:00,23.8,0,65,云量发展情况没有进行观测或无法观测。 ,6
15.06.2022 08:00,19.6,0.1,83,云量发展情况没有进行观测或无法观测。 ,6
15.06.2022 05:00,18.5,5,95,薄雾 ,3
15.06.2022 02:00,18.7,6,94,薄雾 ,1
14.06.2022 23:00,18.5,6,94,薄雾 ,1
14.06.2022 20:00,18.9,6,93,小雨（不冻） ,1
14.06.2022 17:00,19.5,0.9,87,间歇性雨，不冻，在观测时中度 ,3
14.06.2022 14:00,21.3,0.1,74,云量发展情况没有进行观测或无法观测。 ,4
14.06.2022 11:00,21.2,0.4,85,云量发展情况没有进行观测或无法观测。 ,4
14.06.2022 08:00,19.5,5,97,间歇性毛毛雨，不冻，在观测时为强度 ,3
14.06.2022 05:00,19.3,11,98,间歇性雨，不冻，在观测时较弱 ,3
14.06.2022 02:00,18.3,11,95,小雨（不冻） ,0
13.06.2022 23:00,17.7,11,95,间歇性雨，不冻，在观测时较弱 ,2
13.06.2022 20:00,17.7,7,94,间歇性雨，不冻，在观测时中度 ,2
13.06.2022 17:00,20.7,0,90,云量发展情况没有进行观测或无法观测。 ,4
13.06.2022 14:00,21.4,0.2,88,云量发展情况没有进行观测或无法观测。 ,4
13.06.2022 11:00,20.8,0,90,云量发展情况没有进行观测或无法观测。 ,3
13.06.2022 08:00,20.3,0,90,云量发展情况没有进行观测或无法观测。 ,4
13.06.2022 05:00,19.7,0,93,云量发展情况没有进行观测或无法观测。 ,3
13.06.2022 02:00,19.8,0,93,云量发展情况没有进行观测或无法观测。 ,2
12.06.2022 23:00,20.1,0,90,云量发展情况没有进行观测或无法观测。 ,2
12.06.2022 20:00,20.1,0,91,云量发展情况没有进行观测或无法观测。 ,3
12.06.2022 17:00,21.4,0,86,云量发展情况没有进行观测或无法观测。 ,3
12.06.2022 14:00,21.8,0,84,云量发展情况没有进行观测或无法观测。 ,4
12.06.2022 11:00,21.3,0,85,云量发展情况没有进行观测或无法观测。 ,3
12.06.2022 08:00,20.1,0,93,云量发展情况没有进行观测或无法观测。 ,3
12.06.2022 05:00,19.2,0,95,云量发展情况没有进行观测或无法观测。 ,3
12.06.2022 02:00,19.3,0,94,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 23:00,19.5,0,94,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 20:00,19.7,0,93,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 17:00,21.3,0,82,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 14:00,21.9,0,83,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 11:00,21.7,0,83,云量发展情况没有进行观测或无法观测。 ,3
11.06.2022 08:00,20.4,0,92,云量发展情况没有进行观测或无法观测。 ,2
11.06.2022 05:00,19.2,0,98,薄雾 ,2
11.06.2022 02:00,19.2,0,98,薄雾 ,3
10.06.2022 23:00,19.5,0,95,云量发展情况没有进行观测或无法观测。 ,3
10.06.2022 20:00,19.7,2,94,云量发展情况没有进行观测或无法观测。 ,4
10.06.2022 17:00,20.8,2,88,云量发展情况没有进行观测或无法观测。 ,4
10.06.2022 14:00,21.6,0,85, ,2
10.06.2022 11:00,22.2,2,80, ,2
10.06.2022 08:00,20,0,91,云量发展情况没有进行观测或无法观测。 ,3
10.06.2022 05:00,19.2,0,96,薄雾 ,4
10.06.2022 02:00,19.3,0,95,云量发展情况没有进行观测或无法观测。 ,4
09.06.2022 23:00,19.6,0,95,云量发展情况没有进行观测或无法观测。 ,4
09.06.2022 20:00,19.7,0,95,薄雾 ,3
09.06.2022 17:00,20.3,0,92,云量发展情况没有进行观测或无法观测。 ,4
09.06.2022 14:00,21.5,0,85,云量发展情况没有进行观测或无法观测。 ,3
09.06.2022 11:00,20.6,0,88,云量发展情况没有进行观测或无法观测。 ,3
09.06.2022 08:00,19.9,0,90,云量发展情况没有进行观测或无法观测。 ,3
09.06.2022 05:00,18.9,0,91,云量发展情况没有进行观测或无法观测。 ,2
09.06.2022 02:00,18.4,0,93,云量发展情况没有进行观测或无法观测。 ,3
08.06.2022 23:00,18.5,0,91,云量发展情况没有进行观测或无法观测。 ,4
08.06.2022 20:00,18.3,0,90,云量发展情况没有进行观测或无法观测。 ,4
08.06.2022 17:00,19.7,0,81,云量发展情况没有进行观测或无法观测。 ,4
08.06.2022 14:00,20.6,0,78,云量发展情况没有进行观测或无法观测。 ,6
08.06.2022 11:00,20.1,0,77,云量发展情况没有进行观测或无法观测。 ,5
08.06.2022 08:00,19.3,0,82,云量发展情况没有进行观测或无法观测。 ,3
08.06.2022 05:00,17.1,0,92,云量发展情况没有进行观测或无法观测。 ,3
08.06.2022 02:00,16.9,0,87,云量发展情况没有进行观测或无法观测。 ,1
07.06.2022 23:00,17.2,0,88,云量发展情况没有进行观测或无法观测。 ,2
07.06.2022 20:00,17.9,0,84,云量发展情况没有进行观测或无法观测。 ,2
07.06.2022 17:00,19.2,0,72,云量发展情况没有进行观测或无法观测。 ,5
07.06.2022 14:00,23.5,0,50,云量发展情况没有进行观测或无法观测。 ,3
07.06.2022 11:00,21.7,0,51,云量发展情况没有进行观测或无法观测。 ,6
07.06.2022 08:00,17.8,0,66,云量发展情况没有进行观测或无法观测。 ,5
07.06.2022 05:00,15.7,0,77,云量发展情况没有进行观测或无法观测。 ,5
07.06.2022 02:00,17.2,0,68,云量发展情况没有进行观测或无法观测。 ,4
06.06.2022 23:00,19.2,0,59,云量发展情况没有进行观测或无法观测。 ,5
06.06.2022 20:00,21.2,0,63,云量发展情况没有进行观测或无法观测。 ,6
06.06.2022 17:00,24.9,0,56,云量发展情况没有进行观测或无法观测。 ,7
06.06.2022 14:00,21.9,0.2,77,云量发展情况没有进行观测或无法观测。 ,4
06.06.2022 11:00,24.8,0.2,65,霾 ,4
06.06.2022 08:00,18.2,0.2,97,云量发展情况没有进行观测或无法观测。 ,3
06.06.2022 05:00,17.2,0.2,99,雾或冰雾 ,3
06.06.2022 02:00,17.4,0,99,薄雾 ,2
05.06.2022 23:00,17.9,0,96,云量发展情况没有进行观测或无法观测。 ,4
05.06.2022 20:00,18,0,96,云量发展情况没有进行观测或无法观测。 ,4
05.06.2022 17:00,20.6,0,82,云量发展情况没有进行观测或无法观测。 ,2
05.06.2022 14:00,21.5,0.1,78,云量发展情况没有进行观测或无法观测。 ,3
05.06.2022 11:00,19.2,0.4,92,云量发展情况没有进行观测或无法观测。 ,2
05.06.2022 08:00,18.8,0.4,97,云量发展情况没有进行观测或无法观测。 ,1
05.06.2022 05:00,18.5,0.6,98,云量发展情况没有进行观测或无法观测。 ,2
05.06.2022 02:00,18.7,1,99,薄雾 ,3
04.06.2022 23:00,18.9,3,99,薄雾 ,2
04.06.2022 20:00,18.9,5,98,薄雾 ,3
04.06.2022 17:00,19.1,5,98,薄雾 ,3
04.06.2022 14:00,19,4,98,间歇性毛毛雨，不冻，在观测时为强度 ,3
04.06.2022 11:00,18.6,2,98,间歇性毛毛雨，不冻，在观测时为强度 ,4
04.06.2022 08:00,18.4,0.6,99,间歇性雨，不冻，在观测时较弱 ,4
04.06.2022 05:00,18.1,0.2,98,薄雾 ,3
04.06.2022 02:00,18.4,0,99,雾或冰雾 ,3
03.06.2022 23:00,18.8,0,99,薄雾 ,4
03.06.2022 20:00,18.6,0,96,薄雾 ,4
03.06.2022 17:00,19.6,0,91,云量发展情况没有进行观测或无法观测。 ,4
03.06.2022 14:00,20.2,0,91,云量发展情况没有进行观测或无法观测。 ,4
03.06.2022 11:00,19.3,0,95,薄雾 ,6
03.06.2022 08:00,18.4,0,99,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,5
03.06.2022 05:00,18.2,0,99,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,4
03.06.2022 02:00,19.5,0,96,薄雾 ,3
02.06.2022 23:00,19.8,0,95,薄雾 ,3
02.06.2022 20:00,20.6,0,92,薄雾 ,4
02.06.2022 17:00,19.8,0,90,云量发展情况没有进行观测或无法观测。 ,4
02.06.2022 14:00,23.5,0,73,云量发展情况没有进行观测或无法观测。 ,4
02.06.2022 11:00,22,0,77,云量发展情况没有进行观测或无法观测。 ,4
02.06.2022 08:00,21.9,0,78,云量发展情况没有进行观测或无法观测。 ,3
02.06.2022 05:00,20.2,0,77,云量发展情况没有进行观测或无法观测。 ,3
02.06.2022 02:00,20.6,0,67,云量发展情况没有进行观测或无法观测。 ,2
01.06.2022 23:00,21.1,0,63,云量发展情况没有进行观测或无法观测。 ,2
01.06.2022 20:00,21.6,0,64,云量发展情况没有进行观测或无法观测。 ,3
01.06.2022 17:00,23.1,0,58,云量发展情况没有进行观测或无法观测。 ,3
01.06.2022 14:00,23.8,0,60,云量发展情况没有进行观测或无法观测。 ,4
01.06.2022 11:00,22.9,0,65,云量发展情况没有进行观测或无法观测。 ,4
01.06.2022 08:00,22.3,0,60,云量发展情况没有进行观测或无法观测。 ,2
01.06.2022 05:00,19.2,0,75,云量发展情况没有进行观测或无法观测。 ,3
01.06.2022 02:00,18.9,0,76, ,3
31.05.2022 23:00,19.8,0,68,云量发展情况没有进行观测或无法观测。 ,6
31.05.2022 20:00,19.4,0,73,云量发展情况没有进行观测或无法观测。 ,2
31.05.2022 17:00,21.2,0,62,云量发展情况没有进行观测或无法观测。 ,3
31.05.2022 14:00,22.2,0,53,云量发展情况没有进行观测或无法观测。 ,6
31.05.2022 11:00,23,0,41,云量发展情况没有进行观测或无法观测。 ,6
31.05.2022 08:00,21.2,0,56,云量发展情况没有进行观测或无法观测。 ,4
31.05.2022 05:00,18.2,0,73,云量发展情况没有进行观测或无法观测。 ,3
31.05.2022 02:00,18.6,0,74,云量发展情况没有进行观测或无法观测。 ,4
30.05.2022 23:00,18.4,0,69,云量发展情况没有进行观测或无法观测。 ,4
30.05.2022 20:00,19.6,0,58,云量发展情况没有进行观测或无法观测。 ,3
30.05.2022 17:00,22.7,0,45,云量发展情况没有进行观测或无法观测。 ,3
30.05.2022 14:00,27,0,26,云量发展情况没有进行观测或无法观测。 ,4
30.05.2022 11:00,24.5,0.1,21,云量发展情况没有进行观测或无法观测。 ,7
30.05.2022 08:00,19.7,0.3,70,云量发展情况没有进行观测或无法观测。 ,4
30.05.2022 05:00,17.6,0.3,89,云量发展情况没有进行观测或无法观测。 ,5
30.05.2022 02:00,18.6,0.3,100,云量发展情况没有进行观测或无法观测。 ,2
29.05.2022 23:00,17.7,0.2,100,间歇性雨，不冻，在观测时较弱 ,1
29.05.2022 20:00,17.7,0,100,雾或冰雾，天空不可见，在观测前一个小时内没有明显的浓度变化。 ,4
29.05.2022 17:00,18.1,0,100,雾或冰雾 ,5
29.05.2022 14:00,18.9,0,97,薄雾 ,4
29.05.2022 11:00,19.8,0,92,云量发展情况没有进行观测或无法观测。 ,5
29.05.2022 08:00,19.2,0,94,薄雾 ,4
29.05.2022 05:00,18.5,0,94,薄雾 ,4
29.05.2022 02:00,19.3,0,93,薄雾 ,3
28.05.2022 23:00,19,0,95,薄雾 ,4
28.05.2022 20:00,20,0,85,薄雾 ,5
28.05.2022 17:00,21.1,0,81,薄雾 ,4
28.05.2022 14:00,23.2,0,55,霾 ,5
28.05.2022 11:00,22.5,0,55,云量发展情况没有进行观测或无法观测。 ,4
28.05.2022 08:00,21,0,62,云量发展情况没有进行观测或无法观测。 ,4
28.05.2022 05:00,21.9,0,45,云量发展情况没有进行观测或无法观测。 ,3
28.05.2022 02:00,23,0,40,云量发展情况没有进行观测或无法观测。 ,3
27.05.2022 23:00,22.7,0,44,云量发展情况没有进行观测或无法观测。 ,3
27.05.2022 20:00,25,0,32,云量发展情况没有进行观测或无法观测。 ,5
27.05.2022 17:00,28,0,25,云量发展情况没有进行观测或无法观测。 ,5
27.05.2022 14:00,29.1,0,26,云量发展情况没有进行观测或无法观测。 ,5
27.05.2022 11:00,26.8,0,33,云量发展情况没有进行观测或无法观测。 ,3
27.05.2022 08:00,24.9,0,32,云量发展情况没有进行观测或无法观测。 ,2
27.05.2022 05:00,20.6,0,35,云量发展情况没有进行观测或无法观测。 ,1
27.05.2022 02:00,19.9,0,44,云量发展情况没有进行观测或无法观测。 ,2
26.05.2022 23:00,18.3,0,73,云量发展情况没有进行观测或无法观测。 ,2
26.05.2022 20:00,18.5,0,72,云量发展情况没有进行观测或无法观测。 ,4
26.05.2022 17:00,21.7,0,45,云量发展情况没有进行观测或无法观测。 ,5
26.05.2022 14:00,22.5,0,39,云量发展情况没有进行观测或无法观测。 ,4
26.05.2022 11:00,21.6,0,32,云量发展情况没有进行观测或无法观测。 ,4
26.05.2022 08:00,18.9,0,44,云量发展情况没有进行观测或无法观测。 ,2
26.05.2022 05:00,14.2,0,67,云量发展情况没有进行观测或无法观测。 ,3
26.05.2022 02:00,14.7,0,67,云量发展情况没有进行观测或无法观测。 ,3
25.05.2022 23:00,16.2,0.9,61,云量发展情况没有进行观测或无法观测。 ,3
25.05.2022 20:00,18.6,0.9,40,云量发展情况没有进行观测或无法观测。 ,5
25.05.2022 17:00,18.3,0.9,62,云量发展情况没有进行观测或无法观测。 ,6
25.05.2022 14:00,16.6,0.9,80,小雨（不冻） ,9
25.05.2022 11:00,20.4,0,88,薄雾 ,3
25.05.2022 08:00,17.6,0,100,薄雾 ,4
25.05.2022 05:00,17.2,0,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,3
25.05.2022 02:00,17.3,0,100,薄雾 ,3
24.05.2022 23:00,17.5,0,99,云量发展情况没有进行观测或无法观测。 ,3
24.05.2022 20:00,17.6,0,97,云量发展情况没有进行观测或无法观测。 ,2
24.05.2022 17:00,19.7,0,86,云量发展情况没有进行观测或无法观测。 ,4
24.05.2022 14:00,20.6,0,76,云量发展情况没有进行观测或无法观测。 ,5
24.05.2022 11:00,20.7,0,71,云量发展情况没有进行观测或无法观测。 ,4
24.05.2022 08:00,19.4,0,78,云量发展情况没有进行观测或无法观测。 ,3
24.05.2022 05:00,18.4,0,86,云量发展情况没有进行观测或无法观测。 ,2
24.05.2022 02:00,18.3,0,89,云量发展情况没有进行观测或无法观测。 ,3
23.05.2022 23:00,18.3,0,91,云量发展情况没有进行观测或无法观测。 ,2
23.05.2022 20:00,18.8,0,83,云量发展情况没有进行观测或无法观测。 ,3
23.05.2022 17:00,20.9,0,63,云量发展情况没有进行观测或无法观测。 ,4
23.05.2022 14:00,21.4,0,65,云量发展情况没有进行观测或无法观测。 ,5
23.05.2022 11:00,22.5,0,58,云量发展情况没有进行观测或无法观测。 ,4
23.05.2022 08:00,20.9,0,67,云量发展情况没有进行观测或无法观测。 ,3
23.05.2022 05:00,19.4,0,71,云量发展情况没有进行观测或无法观测。 ,3
23.05.2022 02:00,19.7,0,75,云量发展情况没有进行观测或无法观测。 ,4
22.05.2022 23:00,20.4,0,61,云量发展情况没有进行观测或无法观测。 ,3
22.05.2022 20:00,21.5,0,63,云量发展情况没有进行观测或无法观测。 ,3
22.05.2022 17:00,24.7,0,47,云量发展情况没有进行观测或无法观测。 ,3
22.05.2022 14:00,25,0,49,云量发展情况没有进行观测或无法观测。 ,4
22.05.2022 11:00,28,0,40,云量发展情况没有进行观测或无法观测。 ,2
22.05.2022 08:00,25.2,0,46,云量发展情况没有进行观测或无法观测。 ,2
22.05.2022 05:00,19.1,0,80,薄雾 ,1
22.05.2022 02:00,18,0,87,云量发展情况没有进行观测或无法观测。 ,3
21.05.2022 23:00,18.1,0,82,薄雾 ,4
21.05.2022 20:00,18.5,0,87,薄雾 ,3
21.05.2022 17:00,19.7,0,78,云量发展情况没有进行观测或无法观测。 ,3
21.05.2022 14:00,19,0,83,云量发展情况没有进行观测或无法观测。 ,5
21.05.2022 11:00,17.3,0,89,云量发展情况没有进行观测或无法观测。 ,4
21.05.2022 08:00,14.1,0,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,4
21.05.2022 05:00,14.6,0.6,100,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,2
21.05.2022 02:00,15.4,0.6,100,薄雾 ,3
20.05.2022 23:00,16.3,0.6,92,薄雾 ,3
20.05.2022 20:00,17.1,0.6,92,薄雾 ,3
20.05.2022 17:00,19.5,0,75,薄雾 ,4
20.05.2022 14:00,23.5,0,54,霾 ,3
20.05.2022 11:00,22.4,0,62,云量发展情况没有进行观测或无法观测。 ,2
20.05.2022 08:00,19.5,0,77,薄雾 ,1
20.05.2022 05:00,15.3,0,97,薄雾 ,2
20.05.2022 02:00,15.8,0,92,薄雾 ,2
19.05.2022 23:00,16,0,88,云量发展情况没有进行观测或无法观测。 ,3
19.05.2022 20:00,16.9,0,73,云量发展情况没有进行观测或无法观测。 ,4
19.05.2022 17:00,19.4,0,55,云量发展情况没有进行观测或无法观测。 ,5
19.05.2022 14:00,20.3,0,54,云量发展情况没有进行观测或无法观测。 ,4
19.05.2022 11:00,23.2,0,48,云量发展情况没有进行观测或无法观测。 ,3
19.05.2022 08:00,22.7,0,48,云量发展情况没有进行观测或无法观测。 ,2
19.05.2022 05:00,20.3,0,71,薄雾 ,1
19.05.2022 02:00,22.2,0,47,云量发展情况没有进行观测或无法观测。 ,1
18.05.2022 23:00,24,0,36, ,2
18.05.2022 20:00,24.5,0,33,云量发展情况没有进行观测或无法观测。 ,3
18.05.2022 17:00,26,0,29,云量发展情况没有进行观测或无法观测。 ,6
18.05.2022 14:00,27,0,30,云量发展情况没有进行观测或无法观测。 ,6
18.05.2022 11:00,22.8,0,48,云量发展情况没有进行观测或无法观测。 ,4
18.05.2022 08:00,19.6,0,59,云量发展情况没有进行观测或无法观测。 ,4
18.05.2022 05:00,17.7,0,65,云量发展情况没有进行观测或无法观测。 ,4
18.05.2022 02:00,22.6,0,38,云量发展情况没有进行观测或无法观测。 ,5
17.05.2022 23:00,20.3,0,54,云量发展情况没有进行观测或无法观测。 ,5
17.05.2022 20:00,19.5,0,61,云量发展情况没有进行观测或无法观测。 ,3
17.05.2022 17:00,21,0,59,云量发展情况没有进行观测或无法观测。 ,4
17.05.2022 14:00,21,0,57,云量发展情况没有进行观测或无法观测。 ,4
17.05.2022 11:00,22.8,0,41,云量发展情况没有进行观测或无法观测。 ,4
17.05.2022 08:00,20.1,0,48,云量发展情况没有进行观测或无法观测。 ,3
17.05.2022 05:00,16.7,0,57,云量发展情况没有进行观测或无法观测。 ,2
17.05.2022 02:00,16.7,0,72,云量发展情况没有进行观测或无法观测。 ,1
16.05.2022 23:00,17.3,0,67,云量发展情况没有进行观测或无法观测。 ,3
16.05.2022 20:00,18.3,0,57,云量发展情况没有进行观测或无法观测。 ,4
16.05.2022 17:00,21.7,0,42,云量发展情况没有进行观测或无法观测。 ,3
16.05.2022 14:00,19.7,0,54,云量发展情况没有进行观测或无法观测。 ,3
16.05.2022 11:00,20.4,0,49,云量发展情况没有进行观测或无法观测。 ,4
16.05.2022 08:00,20.1,0,42,云量发展情况没有进行观测或无法观测。 ,1
